,Binary,Selection,Insertion,Binary,Heap,Merge,Quick,,,Binary,Selection,Insertion,Binary,Heap,Merge,Quick,,,Binary,Selection,Insertion,Binary,Heap,Merge,Quick
100000,79.73,25.8,72.9,0.05,0.07,0.71,0.07,long,100000,79.51,25.81,88.15,0.05,0.07,0.73,0.06,int,100000,78.98,25.77,86.75,0.04,0.07,0.73,0.07
101000,81.13,26.35,75.63,0.05,0.07,0.72,0.07, ,101000,81.29,26.32,92.57,0.05,0.07,0.75,0.07,,101000,80.55,26.29,87.49,0.06,0.07,1.37,0.07
102000,82.68,26.82,101.73,0.05,0.07,0.73,0.06, ,102000,82.89,26.85,83.15,0.06,0.07,0.73,0.07,,102000,82.15,26.82,85.75,0.04,0.07,0.74,0.07
103000,84.32,27.28,107,0.05,0.07,0.73,0.06, ,103000,84.51,27.38,100.34,0.06,0.08,1.36,0.07,,103000,83.75,27.34,99.38,0.05,0.07,1.1,0.07
104000,86,27.81,122.44,0.07,0.08,0.76,0.07, ,104000,86.21,27.92,93.62,0.05,0.08,0.74,0.07,,104000,85.45,27.86,93.44,0.06,0.07,0.76,0.06
105000,87.7,28.35,116.9,0.07,0.07,0.77,0.07, ,105000,87.9,28.45,105.24,0.07,0.08,0.38,0.07,,105000,87.11,28.4,104.35,0.06,0.08,0.02,0.07
106000,89.53,28.91,100.67,0.07,0.08,0.76,0.07, ,106000,89.57,29,123.49,0.05,0.08,0.77,0.07,,106000,88.78,28.95,126.44,0.07,0.08,0.79,0.07
107000,91.38,29.45,81.85,0.06,0.07,0.77,0.07, ,107000,91.3,29.55,110.9,0.08,0.07,0.78,0.06,,107000,90.57,29.5,107.54,0.06,0.08,0.8,0.06
108000,93.1,30.02,86.36,0.05,0.07,0.77,0.07, ,108000,93.07,30.1,125.87,0.05,0.08,0.78,0.07,,108000,92.3,30.05,131.4,0.06,0.08,0.78,0.08
109000,94.65,30.76,84.87,0.05,0.08,0.77,0.08, ,109000,94.76,30.67,120.91,0.06,0.08,0.78,0.08,,109000,93.9,30.6,122.08,0.05,0.08,0.78,0.08
110000,96.25,31.19,103.64,0.05,0.08,0.78,0.07, ,110000,96.48,31.23,114.87,0.06,0.07,0.79,0.07,,110000,95.6,31.17,115.27,0.05,0.08,0.8,0.07
111000,98.02,31.7,136.27,0.05,0.07,0.8,0.07, ,111000,98.31,31.82,109.65,0.06,0.08,0.8,0.07,,111000,97.37,31.81,104.3,0.05,0.08,0.81,0.07
112000,99.78,32.26,148.58,0.06,0.08,0.81,0.07, ,112000,100.1,32.43,101.4,0.07,0.08,0.81,0.07,,112000,99.15,32.31,105.02,0.06,0.08,0.81,0.08
113000,101.6,32.85,136.44,0.07,0.08,0.82,0.07, ,113000,102.07,32.96,119.13,0.07,0.08,0.83,0.08,,113000,100.97,32.9,126.33,0.07,0.08,0.84,0.07
114000,103.41,33.42,161.01,0.07,0.08,0.82,0.08, ,114000,104,33.54,141.49,0.07,0.08,0.84,0.09,,114000,102.72,33.48,147.86,0.07,0.08,0.84,0.08
115000,105.19,34.02,170.03,0.08,0.08,0.85,0.08, ,115000,105.77,34.14,152.27,0.07,0.08,0.85,0.08,,115000,104.48,34.06,151.01,0.06,0.08,0.83,0.07
116000,107.03,34.61,178.2,0.07,0.09,0.85,0.07, ,116000,107.56,34.72,142.97,0.08,0.09,0.85,0.08,,116000,106.27,34.67,131.63,0.06,0.09,0.85,0.07
117000,109.06,35.2,161.79,0.07,0.09,0.86,0.07, ,117000,109.18,35.33,162.73,0.07,0.09,0.86,0.08,,117000,108.11,35.26,153.67,0.07,0.08,0.85,0.07
118000,111.15,35.81,127.66,0.07,0.09,0.86,0.07, ,118000,111.17,35.93,184.07,0.08,0.08,0.86,0.08,,118000,109.97,35.86,176.64,0.05,0.09,0.86,0.08
119000,113.36,36.42,112.64,0.07,0.09,0.85,0.07, ,119000,112.92,36.55,181.88,0.09,0.08,0.87,0.08,,119000,111.8,36.47,182,0.05,0.09,0.87,0.08
120000,115.15,37.06,111.29,0.05,0.08,0.85,0.07, ,120000,114.78,37.17,172.94,0.07,0.09,0.86,0.08,,120000,113.69,37.09,172.03,0.05,0.09,0.87,0.08
121000,116.77,37.92,107.51,0.07,0.08,0.87,0.08, ,121000,116.73,37.79,168.18,0.07,0.09,1.01,0.08,,121000,115.62,37.72,157.35,0.06,0.09,0.86,0.08
122000,118.41,38.48,136.39,0.06,0.08,0.87,0.08, ,122000,118.65,38.44,142.8,0.08,0.08,0.88,0.08,,122000,117.53,38.38,132.35,0.08,0.08,0.9,0.08
123000,120.25,38.99,148.19,0.06,0.09,0.87,0.08, ,123000,120.64,39.1,142.24,0.07,0.09,0.9,0.08,,123000,119.5,39,152.57,0.06,0.08,0.9,0.08
124000,122.24,39.62,160.48,0.06,0.08,0.89,0.08, ,124000,122.68,39.69,167.41,0.09,0.09,0.9,0.08,,124000,121.48,39.6,176.24,0.08,0.09,0.91,0.08
125000,124.2,40.27,140.64,0.07,0.09,0.9,0.08, ,125000,124.92,40.33,141.97,0.07,0.09,0.91,0.08,,125000,123.42,40.24,162.58,0.08,0.09,0.91,0.08
126000,126.26,40.88,166.83,0.07,0.08,0.9,0.09, ,126000,127.49,40.97,135.17,0.08,0.09,0.91,0.09,,126000,125.42,40.9,169.77,0.07,0.09,0.92,0.09
127000,128.29,41.49,184.19,0.08,0.09,0.94,0.08, ,127000,129.4,41.65,120.09,0.06,0.09,0.91,0.09,,127000,127.4,41.58,158.4,0.08,0.09,0.95,0.09
128000,130.44,42.13,202.28,0.08,0.09,0.94,0.09, ,128000,131.06,42.48,130.17,0.06,0.09,0.93,0.08,,128000,129.44,42.23,169.78,0.08,0.09,0.95,0.09
129000,132.82,42.8,179.18,0.08,0.1,0.94,0.09, ,129000,133.14,43.17,131.09,0.06,0.09,0.93,0.09,,129000,131.48,42.86,189.54,0.07,0.09,0.95,0.08
130000,135.28,43.47,140.53,0.08,0.09,0.94,0.09, ,130000,134.97,43.87,122.17,0.06,0.1,0.94,0.08,,130000,133.48,43.52,215.37,0.08,0.09,0.96,0.09
131000,137.18,44.34,135.68,0.07,0.09,0.94,0.08, ,131000,136.78,44.46,186.21,0.07,0.09,0.94,0.08,,131000,135.6,44.2,205.34,0.08,0.1,0.96,0.09
132000,138.7,45.08,156.67,0.06,0.1,0.94,0.09, ,132000,138.88,45.16,179.58,0.07,0.09,0.94,0.09,,132000,137.63,44.91,188.98,0.09,0.1,0.97,0.09
133000,140.65,45.72,171.76,0.08,0.09,0.97,0.09, ,133000,141.07,45.77,191.34,0.07,0.1,0.96,0.09,,133000,139.94,45.56,179.87,0.1,0.1,1,0.09
134000,142.84,46.33,196.47,0.09,0.09,0.98,0.08, ,134000,143.29,46.34,207.47,0.08,0.1,0.98,0.08,,134000,142.58,46.24,181.06,0.09,0.1,0.99,0.09
135000,145.01,47.02,203.16,0.09,0.09,0.96,0.08, ,135000,145.46,47.04,231.29,0.07,0.1,0.97,0.09,,135000,145.08,46.92,160.12,0.08,0.1,0.99,0.09
136000,147.28,47.58,229.26,0.1,0.1,1.01,0.1, ,136000,147.54,47.82,188.16,0.06,0.09,0.99,0.1,,136000,147.26,47.65,154.72,0.07,0.1,0.98,0.1
137000,149.6,48.28,269.99,0.09,0.1,1.01,0.09, ,137000,149.76,48.5,191.54,0.08,0.1,1,0.09,,137000,148.96,48.47,145.79,0.08,0.09,0.99,0.09
138000,151.91,48.98,290.68,0.09,0.1,1.02,0.09, ,138000,152.09,49.17,243.41,0.08,0.1,1.01,0.09,,138000,150.76,49.21,173.91,0.07,0.1,1.01,0.09
139000,153.93,49.7,293.22,0.09,0.11,1.02,0.1, ,139000,154.35,49.87,275.82,0.09,0.1,1.01,0.09,,139000,152.63,49.91,244.42,0.07,0.1,1.01,0.09
140000,156.18,50.41,297.53,0.1,0.1,1.03,0.09, ,140000,156.42,50.59,293.94,0.08,0.1,1,0.09,,140000,154.8,50.5,304.61,0.09,0.1,1.02,0.09
141000,158.5,51.14,290.72,0.1,0.1,1.03,0.1, ,141000,158.5,51.33,285.57,0.08,0.1,1.02,0.09,,141000,157.02,51.2,309.26,0.09,0.1,1.05,0.09
142000,161.14,51.86,249.98,0.1,0.11,1.04,0.1, ,142000,160.8,52.04,305.76,0.08,0.11,1.05,0.1,,142000,159.32,51.92,316.19,0.08,0.1,1.04,0.09
143000,163.83,52.61,175.74,0.1,0.11,1.05,0.09, ,143000,163.04,52.78,298.96,0.1,0.1,1.06,0.09,,143000,161.51,52.66,300.16,0.08,0.1,1.04,0.09
144000,166.31,53.66,173.11,0.09,0.1,1.03,0.1, ,144000,165.38,53.53,285.1,0.1,0.11,1.06,0.1,,144000,163.75,53.47,270.92,0.08,0.1,1.05,0.1
145000,167.7,54.41,220.64,0.08,0.1,1.04,0.09, ,145000,167.69,54.32,267.05,0.08,0.11,1.04,0.1,,145000,166.07,54.18,256.36,0.09,0.11,1.07,0.1
146000,169.52,55.22,268.99,0.08,0.1,1.04,0.1, ,146000,170.14,55.01,283.91,0.08,0.1,1.06,0.1,,146000,168.51,54.91,290.84,0.1,0.11,1.1,0.1
147000,171.84,55.67,317.54,0.08,0.1,1.06,0.1, ,147000,172.62,55.76,316.63,0.1,0.11,1.08,0.1,,147000,171.12,55.67,285.95,0.11,0.11,1.13,0.1
148000,174.14,56.43,313.58,0.08,0.11,1.05,0.1, ,148000,174.74,56.58,325.77,0.1,0.11,1.08,0.1,,148000,174.02,56.39,292.79,0.09,0.11,1.1,0.1
149000,176.51,57.18,319.71,0.1,0.11,1.09,0.11, ,149000,177.08,57.31,336.69,0.09,0.11,1.08,0.1,,149000,176.36,57.16,292.16,0.11,0.11,1.13,0.11
150000,179.02,58.06,278.25,0.1,0.11,1.1,0.1, ,150000,179.43,58.14,323.49,0.09,0.11,1.08,0.1,,150000,178.91,57.93,290.18,0.11,0.12,1.12,0.1
151000,181.56,58.8,253.43,0.11,0.12,1.11,0.11, ,151000,181.81,58.98,296.01,0.08,0.12,1.09,0.11,,151000,181.52,58.71,218.33,0.1,0.11,1.13,0.1
152000,184.77,59.43,280.81,0.12,0.12,1.11,0.1, ,152000,184.43,59.72,310.05,0.09,0.11,1.11,0.1,,152000,183.99,59.63,197.19,0.09,0.11,1.1,0.1
153000,187.4,60.22,258.08,0.12,0.11,1.13,0.11, ,153000,186.97,60.42,330.84,0.1,0.11,1.12,0.11,,153000,185.65,60.52,226.73,0.08,0.11,1.12,0.11
154000,190.11,61.11,213.48,0.09,0.11,1.11,0.1, ,154000,189.42,61.24,328.97,0.1,0.12,1.12,0.1,,154000,187.54,61.33,279.72,0.08,0.11,1.13,0.1
155000,192.2,62.25,220.31,0.09,0.11,1.17,0.1, ,155000,191.77,62.12,318.77,0.12,0.12,1.21,0.1,,155000,189.75,62.02,299.92,0.09,0.11,1.21,0.1
156000,193.76,62.99,274.51,0.09,0.11,1.18,0.1, ,156000,194.81,62.8,331.3,0.12,0.12,1.24,0.1,,156000,192.23,62.76,332.51,0.1,0.11,1.21,0.11
157000,196.08,63.86,315.48,0.09,0.11,1.18,0.1, ,157000,197.3,63.61,380.84,0.11,0.12,1.21,0.11,,157000,195.16,63.47,335.37,0.1,0.12,1.22,0.11
158000,198.47,64.54,381.17,0.09,0.11,1.2,0.1, ,158000,199.31,64.42,428.01,0.11,0.12,1.22,0.1,,158000,197.56,64.27,340.1,0.11,0.13,1.25,0.11
