1000, 0.01, 0, 0, 0, 0.01, 0, 0, 
11000, 0.94, 0.3, 0.59, 0.01, 0, 0.06, 0.01, 
21000, 3.43, 1.1, 2.43, 0.01, 0.01, 0.13, 0.01, 
31000, 7.5, 2.41, 5.69, 0.01, 0.02, 0.18, 0.02, 
40000, 12.55, 4.01, 9.84, 0.02, 0.02, 0.26, 0.02, 
50000, 19.6, 6.26, 15.83, 0.02, 0.03, 0.31, 0.03, 
60000, 28.24, 9.01, 21.32, 0.02, 0.04, 0.37, 0.03, 
70000, 38.46, 12.27, 32.16, 0.04, 0.04, 0.42, 0.05, 
80000, 50.25, 16.02, 37.29, 0.04, 0.05, 0.52, 0.05, 
90000, 63.65, 20.28, 49.92, 0.04, 0.07, 0.58, 0.05, 
100000, 78.6, 25.05, 67.09, 0.04, 0.06, 0.66, 0.06, 
110000, 95.16, 30.32, 73.56, 0.05, 0.08, 0.71, 0.07, 
120000, 113.23, 36.05, 85.39, 0.05, 0.09, 0.78, 0.07, 
130000, 132.79, 42.32, 100.42, 0.06, 0.09, 0.84, 0.09, 
140000, 154, 49.08, 116.89, 0.07, 0.1, 0.91, 0.09, 
150000, 176.79, 56.35, 134.34, 0.09, 0.11, 0.97, 0.09, 
